key,english,swahili
"welcome","Welcome","Karibu"
"greeting","Hello, {{name}}!","Hujambo, {{name}}!"
"chooseMode.title","Welcome back","Karibu tena"
"chooseMode.subtitle","How do you want to continue today?","Je, ungependa kuendelea vipi leo?"
"chooseMode.employerTitle","Employer view","Mtazamo wa mwajiri"
"chooseMode.employerDesc","Manage your team, schedules & payroll","Dhibiti timu yako, ratiba na malipo"
"chooseMode.employeeTitle","Employee view","Mtazamo wa mfanyakazi"
"chooseMode.employeeDesc","Clock in, payslips, leave & tasks","Saa ndani, payslips, kuondoka na majukumu"
"chooseMode.footnote","Remembered until you sign out.","Inakumbukwa hadi uondoke kwenye akaunti."
"common.save","Save","Hifadhi"
"common.cancel","Cancel","Ghairi"
"common.close","Close","Funga"
"common.loading","Loading…","Inapakia..."
"common.yes","Yes","Ndiyo"
"common.no","No","Hapana"
"common.none","None","Hakuna"
"common.errorTitle","Error","Hitilafu"
"common.clear","Clear","Wazi"
"common.ok","OK","Sawa"
"common.notRecorded","Not recorded","Haijarekodiwa"
"common.successTitle","Success","Mafanikio"
"common.deletedTitle","Deleted","Imefutwa"
"common.confirmDeletionTitle","Confirm Deletion","Thibitisha Ufutaji"
"common.delete","Delete","Futa"
"common.unknown","Unknown","Haijulikani"
"common.invalid","Invalid","Batili"
"common.notAvailable","N/A","N/A"
"transfersScreen.pageTitle","Transfers","Uhamisho"
"transfersScreen.confirmDeleteBody","Delete this transfer?","Ungependa kufuta uhamishaji huu?"
"transfersScreen.toastTransferAdded","Transfer added.","Uhamisho umeongezwa."
"transfersScreen.toastTransferUpdated","Transfer updated.","Uhamisho umesasishwa."
"transfersScreen.statSent","SENT","IMETUMA"
"transfersScreen.statReceived","RECEIVED","IMEPOKEA"
"transfersScreen.statNet","NET","NET"
"transfersScreen.senderNamePlaceholder","Sender name","Jina la mtumaji"
"transfersScreen.recipientNamePlaceholder","Recipient name","Jina la mpokeaji"
"transfersScreen.vAmountRequired","Amount is required","Kiasi kinahitajika"
"transfersScreen.vAmountValid","Please enter a valid positive amount.","Tafadhali weka kiasi chanya halali."
"transfersScreen.vDateRequired","Date is required","Tarehe inahitajika"
"transfersScreen.vDateFormat","Please use YYYY-MM-DD format.","Tafadhali tumia umbizo la YYYY-MM-DD."
"transfersScreen.vSenderRequired","Sender name is required.","Jina la mtumaji linahitajika."
"transfersScreen.vRecipientRequired","Recipient name is required.","Jina la mpokeaji linahitajika."
"companyHome.overview","Overview","Muhtasari"
"companyHome.workforceLive","Workforce Live","Nguvu kazi Live"
"companyHome.viewAll","View all","Tazama yote"
"companyHome.attendanceTrend","7-day attendance","Mahudhurio ya siku 7"
"companyHome.uniqueStaff","staff/day","wafanyakazi/siku"
"companyHome.rosterShort","Roster","Orodha"
"companyHome.pendingShort","Pending","Inasubiri"
"companyHome.jobsShort","Jobs","Ajira"
"companyHome.hoursShort","Hours","Masaa"
"companyHome.statShifts","Shifts","Mabadiliko"
"companyHome.statShiftsSub","scheduled today","iliyopangwa leo"
"companyHome.statLeaves","Leave","Ondoka"
"companyHome.statLeavesSub","awaiting approval","inasubiri idhini"
"companyHome.statJobs","Jobs","Ajira"
"companyHome.statJobsSub","currently active","inatumika kwa sasa"
"companyHome.dailyUtilization","Daily Utilization","Matumizi ya Kila siku"
"companyHome.pendingLeaves","Pending Leaves","Majani Yanayosubiri"
